Index,Original_Row_Index,TITLE,COMPANY,COMPANY_URL,JOB_DESCRIPTION,REQUIREMENT,LOCATION,SALARY,URL,Data source,Posted_Date,Retrieved_Date,Application_Type
11,10,Manager to VP - Operational Process Management Specialist,CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,"Provide professional operational solutions for various business lines, leading the design of standardized back-end operational processes (covering core business scenarios such as account management, payment clearing, loans, trade finance, treasury settlement, and wealth management settlement). Spearhead the development of policies, process design, and risk assessments for new products within the operations division. Act as the primary operations stakeholder in core system projects (e.g., operational platforms, FPS faster payment system, trade finance platform, financial market platform, securities system, fund system). Drive the implementation of automation tools (intelligent data input and verification powered by OCR, RPA and AI tools) in operational scenarios. Collaborate with fintech teams to explore applications of API Banking and AIGC models in operations. Design real-time risk control nodes embedded in business processes and formulate operational continuity plans to ensure compliance with evolving regulatory requirements. Lead outsourcing process design, including responsibility delineation between domestic headquarters and overseas units, SLA development, and cost-benefit analysis. Coordinate cross-border outsourcing projects and drive system upgrades for CMB headquarters (monthly travel to cities like Shenzhen and Chengdu required during project periods: 1-2 trips/month, 1-3 days/trip).","Bachelor or Master’s degree in Fintech, Financial Engineering, Information Systems Management, or Business preferred. PMP certification is a plus. 5+ years of operational management experience in Hong Kong/China banks, with at least 2 end-to-end system migration or process re-engineering projects. In-depth knowledge of Hong Kong payment clearing systems (SWIFT, FPS, CHATS), financial markets (stocks, bonds, funds, wealth products), and regulatory frameworks (AML, tax compliance, operational risk, business continuity management",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
12,11,Senior Sales Manager – Corporate,"Kowloon Shangri-La, Hong Kong","https://hk.indeed.com/cmp/Kowloon-Shangri--la,-Hong-Kong","As a Senior Sales Manager – Corporate, you will focus on building and maintaining strong relationships with corporate clients, identifying new business sources, and collaborating with internal teams to achieve revenue targets and deliver exceptional service. Key responsibilities include managing corporate accounts, developing sales strategies, driving cross-selling initiatives, analyzing market data, monitoring competitor activities, preparing reports, and working with the Events Management Team to exceed client expectations.","Bachelor’s Degree in Hospitality Management, Events Management or related disciplines; at least 5 years of hotel sales experience in corporate markets; experience in account development and maintenance; proficiency in computer applications and hotel sales systems; strong communication, negotiation, and strategic sales leadership skills; excellent command of spoken and written English and Cantonese.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=8ead64fad410230c,indeed,10/11/2025,Not specified,"Apply in writing with CV to Director, Talent Management & Acquisition (Hong Kong) via mail, phone, WhatsApp, or company website"
14,13,"Assistant Manager/ Manager, Asset Quality & Monitoring (Risk Management Dept)",CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,"Monitor portfolio asset quality on an ongoing basis and perform bank-wise asset quality management; Manage provisions for credit risk project by applying IFRS 9 accounting standards and regulatory requirements; Assist to manage the annual budget; Develop and execute strategies to monitor/control credit exposures across sectors; Liaise with regulators during inspections; Stay updated on regulatory requirements including Basel III and IFRS 9; Collaborate with internal departments to align credit risk with institutional strategy; Cooperate with reporting, model, policy, and data teams for credit risk control.","Degree in Finance, Economics, Risk Management, Accounting or related field; Minimum 3 years of experience in financial industry, preferably in corporate and/or retail credit risk; Familiarity with Hong Kong regulatory environment (Basel III, IFRS 9); Advanced Excel skills (Pivot Tables, Macros, VBA) and experience with BI tools (Tableau, Power BI); Familiarity with Bloomberg, Microsoft Office Suite (especially PowerPoint and Word); Strong data analysis capabilities in credit risk and asset quality; Proficiency in English and Chinese (Mandarin & Cantonese); Applicants may be subject to Mandatory Reference Checking Scheme (MRC Scheme).",HK,Not specified,https://hk.indeed.com/viewjob?jk=45e8dcf8377d584e,indeed,10/11/2025,Not specified,Not specified
15,14,Assistant Manager/ Manager of Investment Operations Section - Operations Centre,CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,"Assists section head to manage all daily operations activities of investment operations section; supports business as subject matter expert for launching new or changed investment products, services, and distribution channels; defines, implements, and monitors SLAs; manages implementation of new systems and projects; ensures compliance with regulatory and internal requirements; liaises with stakeholders; supervises team performance; develops operational procedures; drives operational excellence and ensures team competency.","Degree holder; minimum 3 years of relevant banking experience; strong communication, interpersonal, analytical, leadership, problem-solving, and influencing skills; familiarity with HKMA & SFC regulatory requirements and market practices; proficiency in written English and Chinese; spoken English, Cantonese, and Putonghua; proficient in MS Office and Chinese word processing.",HK,Not specified,https://hk.indeed.com/viewjob?jk=495a090ee849e94a,indeed,10/11/2025,Not specified,Not specified
16,15,La Cite Noble - SENIOR PROPERTY OFFICER / PROPERTY OFFICER,WELL BORN REAL ESTATE MANAGEMENT LIMITED,https://hk.indeed.com/cmp/Well-Born-Real-Estate-Management-Limited,"We are a member of Henderson Land Group, one of the most renowned property management companies in Hong Kong. To support our rapid business expansion, we are seeking high-caliber professionals to join our dynamic team. The position is based at La Cite Noble, Tseung Kwan O. Responsibilities include property management for luxury/large-scale residential estates, compliance with DMC and Building Management Ordinance, and providing excellent customer service.","Holder of Degree/Diploma in Property Management or related disciplines; Holder of Provisional Property Management Practitioner (Tier 1) or (Tier 2) Licence; 5 years’ solid experience in property management with at least 2 years in supervisory capacity, preferably in luxury/large-scale residential estates; well versed in DMC and Building Management Ordinance, especially regarding Owners Incorporation; customer-oriented with strong communication and organizational skills; proficiency in written and spoken English and Chinese; immediate availability preferred. Candidates with less experience will be considered for Property Officer role.","Tseung Kwan O, HK",Not specified,https://hk.indeed.com/viewjob?jk=3df519514af422d9,indeed,10/11/2025,Not specified,"Click “APPLY NOW” button or send resume by fax to 2851-1279 or by post to Human Resources Department, 8/F, Golden Centre, 188 Des Voeux Road Central, Sheung Wan, Hong Kong ("
17,16,"Manager/ AVP, Recovery and Preservation (Asset Preservation Department)",CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,"Responsible for developing and implementing recovery and disposal strategies against overdue retail loans, including legal actions such as litigation and bankruptcy petitions. Handle all stages of the recovery process, including reminders, demand letters, repayment negotiations, property possession, collateral management, and disposition. Liaise with external agencies like solicitors, property agents, and auctioneers to support debt recovery. Perform other assigned departmental tasks.","Bachelor’s degree or above in Law, Finance, Accounting, or related discipline. Minimum 3 years’ experience in recovery and management of problem credits, distressed assets, or special assets. Proficient in Microsoft Office, strong communication, collaboration, logical analysis, and writing skills. Self-initiative, ability to work independently and under pressure. Good written and spoken Cantonese, English, and Mandarin. Combination of analytical, industry, and interpersonal skills required. Applicants may be subject to the Mandatory Reference Checking Scheme (MRC Scheme).",HK,Not specified,https://hk.indeed.com/viewjob?jk=ad0692673f0e6e18,indeed,10/11/2025,Not specified,Not specified
18,17,Assistant Manager/ Manager of Account Documentation Control,CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,Perform various checking in account documentation for new and existing accounts; conduct AML and FATCA documentation checks; ensure compliance with regulatory requirements; prepare regular and ad-hoc management reports; participate in system development and user acceptance testing; support marketing programs in resolving operational issues; supervise clerical staff; suggest operational improvements; and handle ad-hoc tasks and projects as assigned.,University/tertiary education or above; 5–10 years of solid experience in banking or financial institutions (candidates with less experience may be considered as Assistant Manager); experience in handling account opening documentation for personal and company accounts; familiarity with AML and FATCA policies; good PC skills in Word and Excel; strong communication and interpersonal skills; ability to prioritize work under tight deadlines; willingness to work overtime. Applicants may be regarded as In-Scope Individuals under the Mandatory Reference Checking Scheme (MRC Scheme).,HK,Not specified,https://hk.indeed.com/viewjob?jk=656e97b79cc9440d,indeed,10/11/2025,Not specified,Not specified
19,18,Relationship Manager (Non-Bank Financial Institutions Department),CMB Wing Lung Bank Limited,https://hk.indeed.com/cmp/Cmb-Wing-Lung-Bank-Limited,"Liaison with non-bank FIs, especially investment banks/institutions, and explore business opportunities according to their requirements, develop marketing strategies. Build relationships with potential business partners, conduct credit risk assessments, ensure regulatory compliance, study customer needs for new product development, prepare product proposals, cross-sell bank products, promote the bank through PR activities, coordinate internal inquiries, and support system integration related to product strategy.","Bachelor degree or above in Business or related discipline. ECF qualification preferred. Minimum 4 years of experience in financial industry, preferably in investment banking. Strong negotiation, communication, and presentation skills. Understanding of Chinese region's economic and business environment. Solid relationship management skills. Self-motivated with independent working ability. Proficient in English, Putonghua, and Cantonese. Applicants may be subject to Mandatory Reference Checking Scheme (MRC Scheme).",HK,Not specified,https://hk.indeed.com/viewjob?jk=320a308a00e5f0a2,indeed,10/11/2025,Not specified,Not specified
20,19,Assistant Registrar,Hong Kong Council for Accreditation of Academic and Vocational Qualifications,https://hk.indeed.com/cmp/Hong-Kong-Council-For-Accreditation-of-Academic-and-Vocational-Qualifications,"The appointee will be involved in assessment exercises in academic areas, and conduct projects related to quality assurance of education and training programmes. Major duties may include conducting assessment exercises; assisting in relevant research and consultancy work, liaison with institutions, government bureaux, and professional bodies; supporting the development of guidelines and procedures, and other internal and external development activities; and management of databases.","Applicants should hold a first degree comparable to HKQF Level 5, preferably with a post-graduate qualification at HKQF Level 6 or above, with at least 5 years of post-qualification relevant work experience, preferably in education, training or quality assurance. Good understanding of the education system in Hong Kong; good analytical, project management, presentation, interpersonal and communication skills; excellent written and spoken English and Chinese, including Putonghua. Proactive, reflective, independent, and team player. Knowledge of international qualification standards and experience in accreditation/quality assurance in higher education or vocational sector is an advantage. Candidates with less experience may be considered as Executive Officer.","Chai Wan, Hong Kong",Not specified,https://hk.indeed.com/viewjob?jk=3e32549b6e95b21b,indeed,10/11/2025,Not specified,"Apply by letter including a short narrative on how you can add value to HKCAAVQ, CV, and present and expected salary via email or post to HKCAAVQ, 10 Siu Sai Wan Road,"
21,20,Administration Officer,Sino Property Services,https://hk.indeed.com/cmp/Sino-Property-Services,"The successful candidate will assist in overall office administration including the purchase and maintenance of office supplies and equipment, liaise closely with all section heads, prepare confidential reports under instruction, and provide secretarial support to the manager as well as other ad hoc duties assigned by the supervisor.","Degree with 2 years of relevant experience or Diploma with 4 years of relevant experience in a sizeable organization; proficient in PC including MS Word, Excel, Access, PowerPoint and Chinese word processing; good command of spoken and written English and Chinese; finance and account background is preferred.",HK,Not specified,https://hk.indeed.com/viewjob?jk=7874e5f72ccf53d1,indeed,10/11/2025,Not specified,"Apply online via ""Apply Now"" button"
22,21,"Intern, Wealth Management",WELAB BANK LIMITED,https://hk.indeed.com/cmp/Welab-Bank-Limited,"WeLab, a leading pan-Asian fintech platform, operates two digital banks (WeLab Bank and Bank Saqu) as well as multiple online financial services in Hong Kong, Mainland China, and Indonesia, with over 70 million individual users and over 700 enterprise customers. WeLab uses game-changing technology to help users access credit, save money, and enjoy their financial journey. At WeLab, we always put our people first. Embarking on a career with WeLab means being part of the driving force to make financial services accessible for everyone. In our flat and agile organization, you will get all the opportunities to make real impacts and deliver change. Most importantly, while you achieve greatness, we will ensure you have an amazing experience at WeLab! Our team is energetic and passionate who can deliver and execute, and we are looking for intellectually curious, open-minded, and smart-working individuals who are just as passionate as we are about making financial services enjoyable. Join us to build a better financial future for everyone!","Currently pursuing or recently graduated with a degree in Finance, Economics, Business Administration, Digital Marketing or a related field",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
23,22,Technical Assistant (Building Works or Building Services),Kai Fu Property Services Co Ltd,https://hk.indeed.com/cmp/Kai-Fu-Property-Services-Co-Ltd,"Kai Fu Property Services Co., Ltd is a fast-growing property management company with over 2,000 employees. Our business focuses on Public Housing Estate Management. At KF, we value our employees as an important asset and are committed to providing them with an enjoyable and safe work environment and promising growth opportunities. To cope with our rapid development, we established a strong team in Estate Management, Building Maintenance and Customer Service and now we are looking for talent to join our team. Let's start your career journey with KF to experience a fruitful yet challenging career life.","Holder of Higher Diploma / Diploma or Higher Certificate in Building Services/Mechanical Engineering/Electrical Engineering/Building Studies/Civil Engineering/Building Surveying, etc. from a HK polytechnic university / HKIVE or a technical institute / technical college. Holder of Certificate in Safety Supervisor Modular Course conducted by Occupational Safety and Health Council will be an advantage. Knowledge in Basic Accident Prevention, Basic Occupational Health, Basic Safety Management or Construction Safety. Well versed in Microsoft WORD, EXCEL, AutoCAD. Positive working attitude and service-oriented mindset. Fresh graduates are welcome.","Kowloon City and Kowloon East, Hong Kong",Not specified,https://hk.indeed.com/viewjob?jk=f87024f9763d6ff2,indeed,10/11/2025,Not specified,"Click ""APPLY NOW"" to submit resume in MS Word format with contact phone number, date available, expected salary, and residential location"
24,23,Senior Corporate Communications Officer / Corporate Communications Officer,The Chinese Manufacturers' Association of Hong Kong,https://hk.indeed.com/cmp/The-Chinese-Manufacturers'-Association-of-Hong-Kong,"Oversee the production and editorial planning of CMA publications, including the corporate magazine and newsletters. Draft high-quality speeches, op-eds, and other written materials for senior management. Manage media relations, including the preparation and distribution of press releases, as well as coordination of media interviews and press events. Provide communication support for ad hoc projects and initiatives as assigned by supervisors.","Bachelor’s degree or above in Journalism, Communications, or related disciplines. Exceptional written and verbal communication skills in English, Cantonese, and Mandarin. Good PC knowledge in MS Office. At least two years of relevant work experience; prior experience as a journalist covering local news and financial beats is highly preferred. Strong understanding of political developments, policies, and business environment in Hong Kong and Chinese Mainland. Ability to comprehend and communicate complex information effectively. Candidates with more experience may be considered for the senior position.",HK,Not specified,https://hk.indeed.com/viewjob?jk=03b307a022c91f18,indeed,10/11/2025,Not specified,Online through Indeed system
25,24,Office Assistant (Oversea Representative Office),Webster Personnel Agency Limited,https://hk.indeed.com/cmp/Webster-Personnel-Agency-Limited,"Our client is an overseas company known for its science-based products and solutions. They are seeking an experienced Office Administrative Assistant to support a small team of their Hong Kong representative office. In this pivotal role, you will be instrumental in providing comprehensive administrative and clerical support. The Office Administrative Assistant ensures smooth daily operations and supports team members in the Hong Kong representative office for 4 days per week, from 9:00am to 3:00pm.","High school diploma or equivalent; Associate Degree or Higher Diploma preferred. 1-2 years of administrative experience preferred. Proficiency in Microsoft Office Suite and Chinese word processing. Good command of written and spoken English and Cantonese; Mandarin is a plus. Strong organizational skills, attention to detail, multitasking abilities, and reliability.",HK,Not specified,https://hk.indeed.com/viewjob?jk=fcf338f9f60713f6,indeed,10/11/2025,Not specified,Submit resume and cover letter via email with salary expectations
26,25,Compliance Assistant,Kingsway Group Services Limited,https://hk.indeed.com/cmp/Kingsway-Group-Services-Limited,"Conduct compliance monitoring reviews of regulated activities, e.g. securities & futures trading, corporate finance and asset management. Monitor staff dealing activities. Anti-money laundering compliance. Compile relevant information for submission in response to enquiries from regulators. Monitor ongoing obligations of licensees (corporates & individuals). Arrange e-submission of monthly Financial Returns for licensed corporations. Review and clear research reports.","University graduate, preferably in Legal, Accounting or Finance. 1-2 years of experience in a compliance or audit-related role, preferably in the accounting industry. Familiar with SFO and relevant rules and regulations preferred but not essential. Good analytical, interpersonal and communication skills. Good command of spoken and written English and Cantonese, Putonghua will be an advantage. Experience in internal audit & risk management and dealing with regulators will be an advantage. Attention to detail and willing to learn.",HK,Not specified,https://hk.indeed.com/viewjob?jk=8164a04e5f0131af,indeed,10/11/2025,Not specified,Not specified
27,26,"Assistant Manager/Manager – Finance, Financial Information Team",Haitong International Management Services Company Limited,https://hk.indeed.com/cmp/Haitong-International-Management-Services-Company-Limited,"Responsible for the financial systems automation & development, including standardizing financial accounting practice in the financial system, automating key finance workflows, and identifying improvement opportunities to support innovative business strategies. Handle authority setting and change operations of the financial system. Serve as the primary technical liaison between the finance department and financial system vendors, supporting daily accounting workflows.","Degree holder in Information Systems, Accountancy, Finance or related discipline. PMP certification and Computer and Software Professional Qualification are preferred. Skilled in database software with strong data sensitivity and analytical ability. Excellent problem-solving, project management, and communication skills, including translating technical concepts for non-technical users and business needs for technical teams.",HK,Not specified,https://hk.indeed.com/viewjob?jk=e7d49423e7e5697e,indeed,10/11/2025,Not specified,"Apply via “APPLY NOW” on the job portal with resume, current and expected salary. Hard copy applications should be sealed and marked “Confidential”."
28,27,ECM Junior,BOCOM International Holdings Company Limited,https://hk.indeed.com/cmp/Bocom-International-Holdings-Company-Limited,"Provide supporting, administrative and research work on various functions of the ECM team; produce weekly ECM reports on market conditions; contribute to pitching materials including market updates, valuation pages, roadshow materials, and investor interest analysis; support live transactions by providing timely information to sales; assist in bookbuilding by collating demand orders and preparing daily updates for issuers; coordinate with internal departments such as sales, research, and investment banking; communicate effectively with external parties including issuers, syndicate banks, and brokerages.","Degree, preferably in Business Administration or Finance; at least 1 year of relevant work experience; proficiency in Word, Excel, and PowerPoint; strong analytical, quantitative, and communication skills.",HK,Not specified,https://hk.indeed.com/viewjob?jk=c738f3187f0e009a,indeed,10/11/2025,Not specified,Not specified
29,28,Office Admin Assistant,Acuzio Visual Technology Engineering Co. Limited,https://hk.indeed.com/cmp/Acuzio-Visual-Technology-Engineering-Co.-Limited,"Join Acuzio Visual Technology Engineering Co. Limited as an Office Admin Assistant. In this full-time role, you will be based in Mong Kok Yau Tsim Mong District, supporting the smooth running of business operations by providing administrative support, managing records and databases, assisting with office procurement, welcoming visitors, handling calls, and performing general office tasks such as photocopying, scanning, and data entry.",Previous experience in office administration or support; strong organisational and time management skills; excellent communication and interpersonal abilities; proficiency in Microsoft Office Suite; proactive and flexible attitude with willingness to learn.,"Mong Kok, Yau Tsim Mong District, Hong Kong",Not specified,https://hk.indeed.com/viewjob?jk=04798d01732d7c90,indeed,10/11/2025,Not specified,Online through Indeed system
